Publication,Scenario,Category,Product,Flow,Unit,Year,Value
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total energy supply,EJ,2019,612
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total energy supply,EJ,2020,587
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total energy supply,EJ,2030,547
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total energy supply,EJ,2040,535
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total energy supply,EJ,2050,543
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Total energy supply,EJ,2019,67
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Total energy supply,EJ,2020,69
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Total energy supply,EJ,2030,167
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Total energy supply,EJ,2040,295
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Total energy supply,EJ,2050,362
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar,Total energy supply,EJ,2019,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar,Total energy supply,EJ,2020,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar,Total energy supply,EJ,2030,32
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar,Total energy supply,EJ,2040,78
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar,Total energy supply,EJ,2050,109
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Total energy supply,EJ,2019,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Total energy supply,EJ,2020,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Total energy supply,EJ,2030,29
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Total energy supply,EJ,2040,67
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Total energy supply,EJ,2050,89
